id,group,acc,other_pref,condition1
101,1,76,i,1:i
101,1,88,p,1:p
102,1,82,i,1:i
102,1,90,p,1:p
103,1,86,i,1:i
103,1,NA,p,1:p
104,1,82,i,1:i
104,1,82,p,1:p
105,1,76,i,1:i
105,1,78,p,1:p
106,1,NA,i,1:i
106,1,100,p,1:p
107,1,76,i,1:i
107,1,86,p,1:p
108,1,80,i,1:i
108,1,84,p,1:p
109,1,92,i,1:i
109,1,NA,p,1:p
112,1,80,i,1:i
112,1,80,p,1:p
113,1,84,i,1:i
113,1,90,p,1:p
114,1,76,i,1:i
114,1,82,p,1:p
115,1,90,i,1:i
115,1,80,p,1:p
116,1,92,i,1:i
116,1,NA,p,1:p
117,1,92,i,1:i
117,1,88,p,1:p
119,1,68,i,1:i
119,1,74,p,1:p
120,1,NA,i,1:i
120,1,90,p,1:p
121,1,92,i,1:i
121,1,80,p,1:p
122,1,78,i,1:i
122,1,82,p,1:p
123,1,72,i,1:i
123,1,84,p,1:p
124,1,80,i,1:i
124,1,82,p,1:p
125,1,80,i,1:i
125,1,96,p,1:p
126,1,90,i,1:i
126,1,86,p,1:p
127,1,82,i,1:i
127,1,90,p,1:p
128,1,80,i,1:i
128,1,66,p,1:p
129,1,84,i,1:i
129,1,88,p,1:p
130,1,84,i,1:i
130,1,90,p,1:p
131,1,84,i,1:i
131,1,82,p,1:p
132,1,80,i,1:i
132,1,94,p,1:p
133,1,92,i,1:i
133,1,82,p,1:p
134,1,86,i,1:i
134,1,96,p,1:p
135,1,78,i,1:i
135,1,76,p,1:p
136,1,96,i,1:i
136,1,92,p,1:p
137,1,82,i,1:i
137,1,96,p,1:p
138,1,96,i,1:i
138,1,NA,p,1:p
139,1,NA,i,1:i
139,1,78,p,1:p
140,1,88,i,1:i
140,1,86,p,1:p
141,1,88,i,1:i
141,1,84,p,1:p
142,1,92,i,1:i
142,1,90,p,1:p
143,1,84,i,1:i
143,1,88,p,1:p
144,1,82,i,1:i
144,1,90,p,1:p
145,1,68,i,1:i
145,1,84,p,1:p
146,1,82,i,1:i
146,1,88,p,1:p
147,1,80,i,1:i
147,1,98,p,1:p
148,1,82,i,1:i
148,1,94,p,1:p
149,1,70,i,1:i
149,1,92,p,1:p
150,1,78,i,1:i
150,1,82,p,1:p
151,1,86,i,1:i
151,1,86,p,1:p
152,1,NA,i,1:i
152,1,98,p,1:p
153,1,74,i,1:i
153,1,72,p,1:p
154,1,84,i,1:i
154,1,84,p,1:p
155,1,84,i,1:i
155,1,88,p,1:p
156,1,72,i,1:i
156,1,64,p,1:p
157,1,90,i,1:i
157,1,80,p,1:p
159,1,78,i,1:i
159,1,86,p,1:p
160,1,NA,i,1:i
160,1,98,p,1:p
161,1,NA,i,1:i
161,1,100,p,1:p
162,1,86,i,1:i
162,1,82,p,1:p
163,1,90,i,1:i
163,1,98,p,1:p
164,1,NA,i,1:i
164,1,94,p,1:p
165,1,76,i,1:i
165,1,84,p,1:p
166,1,94,i,1:i
166,1,90,p,1:p
167,1,82,i,1:i
167,1,84,p,1:p
168,1,84,i,1:i
168,1,88,p,1:p
169,1,86,i,1:i
169,1,84,p,1:p
170,1,86,i,1:i
170,1,76,p,1:p
171,1,80,i,1:i
171,1,84,p,1:p
172,1,90,i,1:i
172,1,90,p,1:p
173,1,86,i,1:i
173,1,90,p,1:p
174,1,90,i,1:i
174,1,92,p,1:p
175,1,NA,i,1:i
175,1,100,p,1:p
176,1,88,i,1:i
176,1,88,p,1:p
177,1,82,i,1:i
177,1,88,p,1:p
178,1,94,i,1:i
178,1,90,p,1:p
179,1,80,i,1:i
179,1,88,p,1:p
180,1,84,i,1:i
180,1,66,p,1:p
201,2,74,i,2:i
201,2,84,p,2:p
202,2,74,i,2:i
202,2,88,p,2:p
203,2,84,i,2:i
203,2,82,p,2:p
204,2,80,i,2:i
204,2,82,p,2:p
205,2,88,i,2:i
205,2,NA,p,2:p
206,2,78,i,2:i
206,2,82,p,2:p
207,2,NA,i,2:i
207,2,84,p,2:p
208,2,78,i,2:i
208,2,82,p,2:p
209,2,68,i,2:i
209,2,82,p,2:p
210,2,90,i,2:i
210,2,72,p,2:p
211,2,80,i,2:i
211,2,82,p,2:p
212,2,74,i,2:i
212,2,80,p,2:p
213,2,74,i,2:i
213,2,86,p,2:p
214,2,78,i,2:i
214,2,84,p,2:p
215,2,NA,i,2:i
215,2,98,p,2:p
216,2,84,i,2:i
216,2,88,p,2:p
217,2,72,i,2:i
217,2,90,p,2:p
218,2,86,i,2:i
218,2,84,p,2:p
219,2,90,i,2:i
219,2,94,p,2:p
221,2,82,i,2:i
221,2,84,p,2:p
222,2,86,i,2:i
222,2,94,p,2:p
223,2,80,i,2:i
223,2,86,p,2:p
224,2,90,i,2:i
224,2,68,p,2:p
225,2,80,i,2:i
225,2,86,p,2:p
226,2,98,i,2:i
226,2,NA,p,2:p
227,2,84,i,2:i
227,2,86,p,2:p
228,2,84,i,2:i
228,2,86,p,2:p
229,2,86,i,2:i
229,2,76,p,2:p
230,2,80,i,2:i
230,2,90,p,2:p
231,2,94,i,2:i
231,2,90,p,2:p
232,2,78,i,2:i
232,2,78,p,2:p
233,2,76,i,2:i
233,2,90,p,2:p
234,2,90,i,2:i
234,2,86,p,2:p
235,2,90,i,2:i
235,2,92,p,2:p
236,2,NA,i,2:i
236,2,94,p,2:p
237,2,80,i,2:i
237,2,84,p,2:p
238,2,84,i,2:i
238,2,90,p,2:p
239,2,NA,i,2:i
239,2,86,p,2:p
240,2,86,i,2:i
240,2,98,p,2:p
241,2,76,i,2:i
241,2,98,p,2:p
242,2,84,i,2:i
242,2,76,p,2:p
243,2,90,i,2:i
243,2,NA,p,2:p
244,2,74,i,2:i
244,2,84,p,2:p
