id,group,sub_scale,ami,condition1
101,1,ami_es,1.166666667,1:ami_es
102,1,ami_es,0.166666667,1:ami_es
103,1,ami_es,0.833333333,1:ami_es
104,1,ami_es,0.5,1:ami_es
105,1,ami_es,0.666666667,1:ami_es
107,1,ami_es,0.5,1:ami_es
108,1,ami_es,0.833333333,1:ami_es
109,1,ami_es,1.666666667,1:ami_es
112,1,ami_es,0.166666667,1:ami_es
113,1,ami_es,0.833333333,1:ami_es
114,1,ami_es,0.5,1:ami_es
115,1,ami_es,2.333333333,1:ami_es
116,1,ami_es,0.166666667,1:ami_es
117,1,ami_es,1.5,1:ami_es
119,1,ami_es,2,1:ami_es
120,1,ami_es,0.333333333,1:ami_es
121,1,ami_es,0.5,1:ami_es
122,1,ami_es,1,1:ami_es
123,1,ami_es,1.166666667,1:ami_es
124,1,ami_es,1.833333333,1:ami_es
125,1,ami_es,0.333333333,1:ami_es
126,1,ami_es,0.666666667,1:ami_es
127,1,ami_es,0.5,1:ami_es
128,1,ami_es,0.5,1:ami_es
129,1,ami_es,2,1:ami_es
130,1,ami_es,0.333333333,1:ami_es
131,1,ami_es,1.166666667,1:ami_es
132,1,ami_es,0.666666667,1:ami_es
133,1,ami_es,0.5,1:ami_es
134,1,ami_es,1.166666667,1:ami_es
135,1,ami_es,2.166666667,1:ami_es
136,1,ami_es,0.5,1:ami_es
137,1,ami_es,0.5,1:ami_es
138,1,ami_es,1.5,1:ami_es
139,1,ami_es,1.5,1:ami_es
140,1,ami_es,0.666666667,1:ami_es
141,1,ami_es,0.5,1:ami_es
142,1,ami_es,0,1:ami_es
143,1,ami_es,0.833333333,1:ami_es
144,1,ami_es,1,1:ami_es
145,1,ami_es,1.5,1:ami_es
146,1,ami_es,0,1:ami_es
147,1,ami_es,0.333333333,1:ami_es
148,1,ami_es,0.5,1:ami_es
149,1,ami_es,0.333333333,1:ami_es
150,1,ami_es,0.833333333,1:ami_es
151,1,ami_es,1,1:ami_es
152,1,ami_es,1.166666667,1:ami_es
153,1,ami_es,2.333333333,1:ami_es
154,1,ami_es,0.5,1:ami_es
155,1,ami_es,1,1:ami_es
156,1,ami_es,1.333333333,1:ami_es
157,1,ami_es,0.333333333,1:ami_es
159,1,ami_es,1.333333333,1:ami_es
160,1,ami_es,0.166666667,1:ami_es
161,1,ami_es,0.166666667,1:ami_es
162,1,ami_es,2.666666667,1:ami_es
163,1,ami_es,0.333333333,1:ami_es
164,1,ami_es,0.166666667,1:ami_es
165,1,ami_es,0.833333333,1:ami_es
166,1,ami_es,0.333333333,1:ami_es
167,1,ami_es,0.333333333,1:ami_es
168,1,ami_es,0.833333333,1:ami_es
169,1,ami_es,3,1:ami_es
170,1,ami_es,0.833333333,1:ami_es
171,1,ami_es,1.166666667,1:ami_es
172,1,ami_es,1.166666667,1:ami_es
173,1,ami_es,0.833333333,1:ami_es
174,1,ami_es,0.833333333,1:ami_es
175,1,ami_es,1.166666667,1:ami_es
176,1,ami_es,0.333333333,1:ami_es
177,1,ami_es,0.833333333,1:ami_es
178,1,ami_es,0.5,1:ami_es
179,1,ami_es,0.5,1:ami_es
180,1,ami_es,0.5,1:ami_es
201,2,ami_es,1,2:ami_es
202,2,ami_es,1.833333333,2:ami_es
203,2,ami_es,1.166666667,2:ami_es
204,2,ami_es,0.666666667,2:ami_es
205,2,ami_es,2,2:ami_es
206,2,ami_es,0.833333333,2:ami_es
207,2,ami_es,1,2:ami_es
208,2,ami_es,0.666666667,2:ami_es
209,2,ami_es,0.5,2:ami_es
210,2,ami_es,0.833333333,2:ami_es
211,2,ami_es,0.666666667,2:ami_es
212,2,ami_es,1.333333333,2:ami_es
213,2,ami_es,1.666666667,2:ami_es
214,2,ami_es,1,2:ami_es
215,2,ami_es,0.166666667,2:ami_es
216,2,ami_es,0.666666667,2:ami_es
217,2,ami_es,0,2:ami_es
218,2,ami_es,0.666666667,2:ami_es
219,2,ami_es,2.833333333,2:ami_es
221,2,ami_es,1.333333333,2:ami_es
222,2,ami_es,0,2:ami_es
223,2,ami_es,0.833333333,2:ami_es
224,2,ami_es,0.666666667,2:ami_es
225,2,ami_es,1.666666667,2:ami_es
226,2,ami_es,0.333333333,2:ami_es
227,2,ami_es,0.333333333,2:ami_es
228,2,ami_es,1.333333333,2:ami_es
229,2,ami_es,0.5,2:ami_es
230,2,ami_es,0.5,2:ami_es
231,2,ami_es,1.333333333,2:ami_es
232,2,ami_es,0.833333333,2:ami_es
233,2,ami_es,1,2:ami_es
234,2,ami_es,0.833333333,2:ami_es
235,2,ami_es,0.666666667,2:ami_es
236,2,ami_es,0.333333333,2:ami_es
237,2,ami_es,1.333333333,2:ami_es
238,2,ami_es,1.5,2:ami_es
239,2,ami_es,1,2:ami_es
240,2,ami_es,0.5,2:ami_es
241,2,ami_es,0.166666667,2:ami_es
242,2,ami_es,1,2:ami_es
243,2,ami_es,0.833333333,2:ami_es
244,2,ami_es,0.5,2:ami_es
245,2,ami_es,0.333333333,2:ami_es
246,2,ami_es,0.5,2:ami_es
247,2,ami_es,1.833333333,2:ami_es
248,2,ami_es,1.333333333,2:ami_es
249,2,ami_es,0,2:ami_es
250,2,ami_es,1.5,2:ami_es
251,2,ami_es,1,2:ami_es
252,2,ami_es,0.833333333,2:ami_es
253,2,ami_es,2,2:ami_es
254,2,ami_es,2.166666667,2:ami_es
255,2,ami_es,0.833333333,2:ami_es
256,2,ami_es,1.166666667,2:ami_es
257,2,ami_es,1.166666667,2:ami_es
258,2,ami_es,0.666666667,2:ami_es
259,2,ami_es,1.166666667,2:ami_es
260,2,ami_es,0.666666667,2:ami_es
262,2,ami_es,0.666666667,2:ami_es
263,2,ami_es,1,2:ami_es
264,2,ami_es,1.166666667,2:ami_es
265,2,ami_es,0.333333333,2:ami_es
267,2,ami_es,0.666666667,2:ami_es
268,2,ami_es,1.333333333,2:ami_es
269,2,ami_es,1.333333333,2:ami_es
270,2,ami_es,1,2:ami_es
271,2,ami_es,1.333333333,2:ami_es
272,2,ami_es,0.666666667,2:ami_es
274,2,ami_es,1,2:ami_es
275,2,ami_es,0.666666667,2:ami_es
276,2,ami_es,1.666666667,2:ami_es
277,2,ami_es,1.333333333,2:ami_es
278,2,ami_es,1,2:ami_es
279,2,ami_es,0.833333333,2:ami_es
280,2,ami_es,1.5,2:ami_es
299,2,ami_es,0.5,2:ami_es
